zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
5.0,0.55223,0.43,0.47429,bite,18.32,19.2,alfalfa,tall,recording_04
5.0,0.51959,0.37,0.48365,bite,19.28,20.08,alfalfa,tall,recording_04
5.0,0.35859,0.41,0.56565,bite,20.175484,20.758987,alfalfa,tall,recording_04
4.0,0.32627,0.35,0.61824,bite,21.091089,21.690998,alfalfa,tall,recording_04
2.0,0.26601,0.24,0.33746,bite,22.2,22.76,alfalfa,tall,recording_04
4.0,0.50864,0.35,0.71646,chew-bite,23.164374,23.84,alfalfa,tall,recording_04
3.0,0.73294,0.38,0.44658,chew-bite,23.92,24.56,alfalfa,tall,recording_04
5.0,0.59066,0.41,0.4849,chew-bite,24.68,25.36,alfalfa,tall,recording_04
5.0,0.43942,0.37,0.51937,chew-bite,25.52,26.12,alfalfa,tall,recording_04
5.0,0.50918,0.37,0.51164,chew-bite,26.2,27.04,alfalfa,tall,recording_04
3.0,0.7613,0.33,0.44969,bite,27.68,28.32,alfalfa,tall,recording_04
3.0,0.23546,0.24,0.78241,bite,28.44,29.0,alfalfa,tall,recording_04
1.0,0.28457,0.31,0.43225,bite,29.379546,29.939546000000004,alfalfa,tall,recording_04
1.0,0.73289,0.26,0.53029,bite,30.130628,30.690628000000004,alfalfa,tall,recording_04
1.0,0.4388,0.24,0.45167,bite,31.126971,31.726971000000002,alfalfa,tall,recording_04
1.0,0.54337,0.35,0.49531,bite,31.906665000000004,32.586665,alfalfa,tall,recording_04
1.0,0.11347,0.13,0.51529,chew,32.696639000000005,33.376639000000004,alfalfa,tall,recording_04
3.0,0.63017,0.31,0.53937,chew-bite,33.52,34.2,alfalfa,tall,recording_04
1.0,0.15051,0.14,0.52051,chew,34.28,34.96,alfalfa,tall,recording_04
3.0,0.63766,0.37,0.44269,chew-bite,35.12,35.76,alfalfa,tall,recording_04
1.0,0.33808,0.21,0.44242,chew-bite,35.96,36.56,alfalfa,tall,recording_04
1.0,0.64094,0.33,0.38432,chew-bite,36.64,37.36,alfalfa,tall,recording_04
5.0,0.47844,0.34,0.54403,chew-bite,37.44,38.32,alfalfa,tall,recording_04
3.0,0.4537,0.29,0.54641,chew-bite,38.4,39.08,alfalfa,tall,recording_04
1.0,0.13811,0.17,0.47988,chew,39.16,39.84,alfalfa,tall,recording_04
1.0,0.081119,0.15,0.44762,chew,39.874176,40.594176000000004,alfalfa,tall,recording_04
1.0,0.2587,0.17,0.49427,chew,40.88,41.56,alfalfa,tall,recording_04
1.0,0.24825,0.22,0.45322,chew,41.64,42.28,alfalfa,tall,recording_04
1.0,0.18059,0.19,0.49785,chew,42.36,43.04,alfalfa,tall,recording_04
3.0,0.22614,0.25,0.60219,chew,43.12,43.92,alfalfa,tall,recording_04
3.0,0.49771,0.36,0.53566,bite,44.44,45.2,alfalfa,tall,recording_04
1.0,0.088517,0.14,0.48039,chew,45.28,45.818707,alfalfa,tall,recording_04
3.0,0.72957,0.37,0.40943,chew-bite,45.997221,46.583769000000004,alfalfa,tall,recording_04
3.0,0.51011,0.32,0.40376,chew-bite,46.626272,47.24,alfalfa,tall,recording_04
7.0,0.48862,0.4,0.50953,chew-bite,47.32,47.92,alfalfa,tall,recording_04
1.0,0.5302,0.25,0.50804,chew-bite,48.045714000000004,48.605714,alfalfa,tall,recording_04
2.0,0.14256,0.26,0.37617,chew-bite,48.88,49.64,alfalfa,tall,recording_04
1.0,0.42683,0.18,0.46425,bite,49.76,50.56,alfalfa,tall,recording_04
4.0,0.15274,0.22,0.4134,chew,50.64,51.48,alfalfa,tall,recording_04
3.0,0.29768,0.21,0.3352,chew,51.56,52.52,alfalfa,tall,recording_04
0.0,0.05666,0.0,0.56032,chew,52.838632999999994,53.391177,alfalfa,tall,recording_04
1.0,0.15171,0.18,0.4926,chew,53.758349,54.421403000000005,alfalfa,tall,recording_04
1.0,0.20126,0.25,0.34908,chew,54.628115,55.365449,alfalfa,tall,recording_04
1.0,0.1775,0.28,0.62751,chew,55.52,56.23098100000001,alfalfa,tall,recording_04
1.0,0.1992,0.17,0.58728,chew,57.390947,58.190946999999994,alfalfa,tall,recording_04
1.0,0.12063,0.24,0.5909,chew,58.32,59.12,alfalfa,tall,recording_04
1.0,0.19953,0.28,0.59183,chew,59.2,59.96,alfalfa,tall,recording_04
3.0,0.14021,0.24,0.39661,chew,60.04,60.84,alfalfa,tall,recording_04
1.0,0.19007,0.24,0.5967,chew,60.92,61.68,alfalfa,tall,recording_04
1.0,0.18603,0.26,0.46439,chew,61.76,62.633058999999996,alfalfa,tall,recording_04
3.0,0.090718,0.12,0.6169,chew,63.050699,63.970698999999996,alfalfa,tall,recording_04
1.0,0.54381,0.24,0.42349,bite,0.019708,0.557292,alfalfa,tall,recording_05
1.0,0.37995,0.27,0.49576,bite,1.126052,2.126052,alfalfa,tall,recording_05
1.0,0.48581,0.23,0.43284,bite,3.96,4.6,alfalfa,tall,recording_05
2.0,0.44377,0.36,0.42118,chew,4.68,5.382264,alfalfa,tall,recording_05
1.0,0.33261,0.28,0.51526,chew-bite,5.506921,6.186921,alfalfa,tall,recording_05
3.0,0.46665,0.39,0.44911,chew-bite,6.313528,6.989331,alfalfa,tall,recording_05
3.0,0.83301,0.39,0.41732,chew-bite,7.04,7.88,alfalfa,tall,recording_05
5.0,0.30488,0.3,0.46786,chew-bite,8.066063,8.706063,alfalfa,tall,recording_05
1.0,0.22899,0.22,0.48465,chew,8.762678,9.495956,alfalfa,tall,recording_05
4.0,0.37209,0.39,0.45526,chew-bite,9.71594,10.52,alfalfa,tall,recording_05
3.0,0.66137,0.33,0.47237,chew-bite,11.160498,11.959772000000001,alfalfa,tall,recording_05
1.0,0.13047,0.16,0.46096,chew-bite,12.011101,12.585334,alfalfa,tall,recording_05
3.0,0.62575,0.34,0.53408,chew-bite,12.678385,13.318385000000001,alfalfa,tall,recording_05
1.0,0.14719,0.17,0.57393,chew,13.44,14.24,alfalfa,tall,recording_05
1.0,0.074435,0.1,0.42792,chew,14.36,15.04,alfalfa,tall,recording_05
3.0,0.62536,0.31,0.54531,chew-bite,15.123335999999998,15.765487,alfalfa,tall,recording_05
1.0,0.085217,0.19,0.53727,chew,15.846148000000001,16.520764,alfalfa,tall,recording_05
1.0,0.37719,0.25,0.34205,bite,17.481358,18.081357999999998,alfalfa,tall,recording_05
5.0,0.42008,0.41,0.46882,chew-bite,18.4,19.0,alfalfa,tall,recording_05
3.0,0.68025,0.38,0.42216,chew-bite,19.08,19.88,alfalfa,tall,recording_05
3.0,0.53432,0.34,0.61025,chew-bite,20.091829999999998,20.69183,alfalfa,tall,recording_05
2.0,0.15719,0.28,0.63895,chew,20.817775,21.391227,alfalfa,tall,recording_05
3.0,0.49255,0.25,0.51823,bite,21.64,22.64,alfalfa,tall,recording_05
4.0,0.86143,0.44,0.47466,chew-bite,23.332921,24.212920999999998,alfalfa,tall,recording_05
5.0,0.76411,0.39,0.47646,chew-bite,25.0,25.64,alfalfa,tall,recording_05
5.0,0.37777,0.36,0.51776,chew-bite,25.88,26.48,alfalfa,tall,recording_05
1.0,0.15409,0.13,0.56065,chew,26.56,27.4,alfalfa,tall,recording_05
3.0,0.29026,0.31,0.32927,chew,27.48,28.36,alfalfa,tall,recording_05
1.0,0.24196,0.18,0.39507,bite,28.421872999999998,29.301872999999997,alfalfa,tall,recording_05
2.0,0.174,0.19,0.45586,chew,29.396407,30.196407,alfalfa,tall,recording_05
3.0,0.40246,0.22,0.39668,bite,30.46772,30.98772,alfalfa,tall,recording_05
1.0,0.12708,0.17,0.5353,chew,31.16,31.92,alfalfa,tall,recording_05
3.0,0.63793,0.35,0.43992,chew-bite,32.04,32.64,alfalfa,tall,recording_05
3.0,0.70745,0.37,0.54409,chew-bite,32.88,33.6,alfalfa,tall,recording_05
2.0,0.50467,0.35,0.42586,chew-bite,34.04,34.84,alfalfa,tall,recording_05
4.0,0.3694,0.32,0.68726,chew-bite,35.08,35.64,alfalfa,tall,recording_05
5.0,0.76477,0.38,0.44067,chew-bite,35.8,36.6,alfalfa,tall,recording_05
5.0,0.46136,0.45,0.54911,chew-bite,36.84,37.52,alfalfa,tall,recording_05
3.0,0.54864,0.3,0.5341,chew-bite,37.6,38.4,alfalfa,tall,recording_05
4.0,0.28028,0.34,0.33872,chew-bite,38.68,39.4,alfalfa,tall,recording_05
3.0,0.69009,0.33,0.51536,chew-bite,39.76,40.4,alfalfa,tall,recording_05
1.0,0.17096,0.17,0.52618,chew,40.52,41.2,alfalfa,tall,recording_05
1.0,0.71495,0.27,0.47444,chew-bite,41.28,41.92,alfalfa,tall,recording_05
1.0,0.15585,0.15,0.45383,bite,42.12,42.64,alfalfa,tall,recording_05
5.0,0.19869,0.33,0.70836,chew-bite,42.84,43.48,alfalfa,tall,recording_05
1.0,0.1658,0.2,0.46875,chew,43.68,44.36,alfalfa,tall,recording_05
1.0,0.10325,0.18,0.45112,chew,44.44,45.2,alfalfa,tall,recording_05
1.0,0.14837,0.3,0.55375,chew,45.240193,45.959615,alfalfa,tall,recording_05
2.0,0.11753,0.29,0.45024,chew,46.12,47.04,alfalfa,tall,recording_05
1.0,0.081,0.22,0.57019,chew,47.36,48.04,alfalfa,tall,recording_05
1.0,0.12927,0.22,0.57718,chew,48.12,48.722613,alfalfa,tall,recording_05
1.0,0.13788,0.2,0.5408,chew,48.84773,49.462889000000004,alfalfa,tall,recording_05
1.0,0.13924,0.17,0.45402,chew,49.588006,50.24,alfalfa,tall,recording_05
3.0,0.36474,0.29,0.50183,bite,50.32,51.04,alfalfa,tall,recording_05
1.0,0.071984,0.12,0.44357,chew,51.256164,51.879451,alfalfa,tall,recording_05
0.0,0.20197,0.0,0.80687,chew,51.952779,52.473406999999995,alfalfa,tall,recording_05
2.0,0.25126,0.29,0.50713,chew,52.671392000000004,53.390005,alfalfa,tall,recording_05
1.0,0.12887,0.13,0.42285,chew,54.915224,55.835224,alfalfa,tall,recording_05
1.0,0.12199,0.15,0.54606,chew,55.952006999999995,56.79241700000001,alfalfa,tall,recording_05
1.0,0.057275,0.04,0.47618,chew,57.162987,58.082987,alfalfa,tall,recording_05
2.0,0.066913,0.11,0.41537,chew,58.302904000000005,59.182904,alfalfa,tall,recording_05
3.0,0.16103,0.24,0.68138,chew,59.36,60.070170999999995,alfalfa,tall,recording_05
1.0,0.088889,0.13,0.47319,chew,60.227430000000005,61.06743,alfalfa,tall,recording_05
3.0,0.10019,0.2,0.3749,chew,61.24,61.96,alfalfa,tall,recording_05
